,clarinet,guitar,saxophone,trumpet,violin
clarinet,-20.2609465284091,-28.476181574348033,-69.24900218815179,-37.773527699295684,-34.293945777843305
guitar,-25.54255785557025,-0.48736428495855433,-36.94678475914849,-38.23350528853772,-28.066450595392574
saxophone,-45.99797863078136,-44.27834099697902,-17.77376519895523,-24.270841708933943,-39.54777850040377
trumpet,-33.731617402083636,-47.02242483287509,-55.64859734983908,-30.230466324306608,-41.125775885882746
violin,-29.02432763426879,-19.473499908131306,-50.449755811725204,-25.30943166738381,-13.377386667661664
